Filename,Width,Height,DPI Information
D:/Thesis/realism_data/Academicism\a bedtime prayer.jpg,512,621,
D:/Thesis/realism_data/Academicism\a bridge in venice.jpg,1920,1117,"(300, 300)"
D:/Thesis/realism_data/Academicism\a child learning to read.jpg,610,600,"(300, 300)"
D:/Thesis/realism_data/Academicism\a children's party the children's table.jpg,1928,1327,"(96, 96)"
D:/Thesis/realism_data/Academicism\a church interior with women at the confessional.jpg,1280,920,"(72.0, 72.0)"
D:/Thesis/realism_data/Academicism\a classical courtship.jpg,760,1000,"(0, 0)"
D:/Thesis/realism_data/Academicism\a day dream.jpg,2627,2363,"(72, 72)"
D:/Thesis/realism_data/Academicism\a degolação de são joão batista.jpg,385,512,"(0, 0)"
D:/Thesis/realism_data/Academicism\a family scene.jpg,636,650,"(300, 300)"
D:/Thesis/realism_data/Academicism\a fishing lugger and customs boat off a coastal town.jpg,944,694,"(72, 72)"
D:/Thesis/realism_data/Academicism\a garden.jpg,1126,2247,"(72, 72)"
D:/Thesis/realism_data/Academicism\a girl feeding peacocks.jpg,1978,2803,"(300, 300)"
D:/Thesis/realism_data/Academicism\a girl playing a guitar by candlelight.jpg,446,600,
D:/Thesis/realism_data/Academicism\a good book.jpg,492,600,"(72, 72)"
D:/Thesis/realism_data/Academicism\a legend of saint patrick.jpg,944,750,"(72, 72)"
D:/Thesis/realism_data/Academicism\a morning calm.jpg,3200,2312,"(300.0, 300.0)"
D:/Thesis/realism_data/Academicism\a musician.jpg,800,576,"(200, 200)"
"D:/Thesis/realism_data/Academicism\a neapolitan girl in traditional costume, holding a tambourine and wearing a beadnecklace, a landscape beyond.jpg",537,640,"(96, 96)"
D:/Thesis/realism_data/Academicism\a playful burden.jpg,2490,3311,"(72, 72)"
D:/Thesis/realism_data/Academicism\a portrait of amelina dufaud.jpg,2314,2789,"(400, 400)"
D:/Thesis/realism_data/Academicism\a portrait of eugene bouguereau.jpg,2154,2453,"(400, 400)"
D:/Thesis/realism_data/Academicism\a private concert.jpg,386,470,"(72, 72)"
D:/Thesis/realism_data/Academicism\a reader.jpg,331,1000,"(200, 200)"
D:/Thesis/realism_data/Academicism\a roman lady.jpg,1569,2430,"(300, 300)"
D:/Thesis/realism_data/Academicism\a roman patrician.jpg,528,1024,
"D:/Thesis/realism_data/Academicism\a roman triumphal entry, possibly of marcus claudius marcellus.jpg",4000,3103,"(120, 120)"
D:/Thesis/realism_data/Academicism\a sacrifice to the graces.jpg,544,864,"(200, 200)"
"D:/Thesis/realism_data/Academicism\a saint, from the 'jackdaw of rheims'.jpg",589,944,"(72, 72)"
D:/Thesis/realism_data/Academicism\a shared confidence.jpg,1000,1370,
D:/Thesis/realism_data/Academicism\a sicilian bride.jpg,1559,2000,"(49, 49)"
D:/Thesis/realism_data/Academicism\a soul taken away by an angel.jpg,2016,2784,"(72, 72)"
"D:/Thesis/realism_data/Academicism\a still life with fruit, roses and a pitcher set on a marble ledge.jpg",1600,1130,"(72, 72)"
D:/Thesis/realism_data/Academicism\a summer evening by lamp and by moonlight.jpg,370,470,"(72, 72)"
"D:/Thesis/realism_data/Academicism\a thinker, a young roman monk.jpg",831,1048,"(0, 0)"
D:/Thesis/realism_data/Academicism\a third-rate entering port mahon.jpg,944,599,"(72, 72)"
D:/Thesis/realism_data/Academicism\a trieste flowergirl.jpg,514,700,"(96, 96)"
D:/Thesis/realism_data/Academicism\a venetian beauty.jpg,2276,3200,"(300.0, 300.0)"
D:/Thesis/realism_data/Academicism\a venetian flower girl.jpg,1064,1640,"(96, 96)"
D:/Thesis/realism_data/Academicism\a watermelon and other fruit by an ornamental ewer.jpg,512,400,"(300, 300)"
D:/Thesis/realism_data/Academicism\a widow.jpg,342,427,"(0, 0)"
D:/Thesis/realism_data/Academicism\a young apple seller by candlelight.jpg,345,470,"(72, 72)"
D:/Thesis/realism_data/Academicism\a young beauty.jpg,747,1000,"(600, 600)"
D:/Thesis/realism_data/Academicism\a young girl in profile.jpg,350,436,"(96, 96)"
D:/Thesis/realism_data/Academicism\a young woman at candlelight.jpg,374,470,"(72, 72)"
D:/Thesis/realism_data/Academicism\a young woman by candlelight.jpg,355,470,"(72, 72)"
D:/Thesis/realism_data/Academicism\academic nude.jpg,293,500,"(72.0, 72.0)"
D:/Thesis/realism_data/Academicism\academic study of a male figure.jpg,3353,5361,
D:/Thesis/realism_data/Academicism\achille baraguey d'hilliers.jpg,531,796,"(72, 72)"
D:/Thesis/realism_data/Academicism\achilles and the body of patroclus.jpg,720,600,
D:/Thesis/realism_data/Academicism\achilles.jpg,5092,3947,
D:/Thesis/realism_data/Academicism\acme and septimius.jpg,904,905,"(72, 72)"
"D:/Thesis/realism_data/Academicism\actaea, the nymph of the shore.jpg",2801,1594,"(240, 240)"
D:/Thesis/realism_data/Academicism\adam and eve mourn the dead abel.jpg,850,835,"(300.0, 300.0)"
D:/Thesis/realism_data/Academicism\adela.jpg,368,610,"(1.0, 1.0)"
D:/Thesis/realism_data/Academicism\adolphe niel.jpg,414,636,"(96, 96)"
D:/Thesis/realism_data/Academicism\adoration of the golden calf.jpg,1024,653,"(0, 0)"
D:/Thesis/realism_data/Academicism\adoration of the shepherds.jpg,599,392,"(300, 300)"
D:/Thesis/realism_data/Academicism\after the bath.jpg,353,450,"(72, 72)"
D:/Thesis/realism_data/Academicism\after the masked ball.jpg,461,600,"(96, 96)"
D:/Thesis/realism_data/Academicism\aglaida and boniface.jpg,600,553,"(300, 300)"
D:/Thesis/realism_data/Academicism\ahmed ier bey.jpg,1728,2592,"(72, 72)"
D:/Thesis/realism_data/Academicism\albaydé.jpg,855,1048,"(0, 0)"
D:/Thesis/realism_data/Academicism\albrecht ii.jpg,870,2665,"(300.02479999999997, 300.02479999999997)"
D:/Thesis/realism_data/Academicism\alexander of macedon trust's the doctor philip.jpg,1134,804,"(96, 96)"
D:/Thesis/realism_data/Academicism\alexander the great and porus.jpg,2860,1896,"(72, 72)"
D:/Thesis/realism_data/Academicism\alexandra feodorovna charlotte of prussia.jpg,1000,1364,"(300, 300)"
