Filename,Width,Height,DPI Information
D:/Thesis/realism_data/Academicism\''our young folks''.jpg,2496,1614,
D:/Thesis/realism_data/Academicism\.jpg,563,736,"(72, 72)"
D:/Thesis/realism_data/Academicism\14th-15th century dress and finger sketch.jpg,946,1500,
"D:/Thesis/realism_data/Academicism\1807, friedland.jpg",2000,1102,"(600, 600)"
D:/Thesis/realism_data/Academicism\a bacchanal.jpg,708,496,"(143.99259999999998, 143.99259999999998)"
D:/Thesis/realism_data/Academicism\a bacchante dancing before the thymele.jpg,329,500,"(95.9866, 95.9866)"
D:/Thesis/realism_data/Academicism\a bacchante.jpg,350,578,"(96, 96)"
D:/Thesis/realism_data/Academicism\a balneator.jpg,429,600,"(95.9866, 95.9866)"
"D:/Thesis/realism_data/Academicism\a bath, woman bathing her feet.jpg",800,591,"(72, 72)"
D:/Thesis/realism_data/Academicism\a bather.jpg,511,1782,"(300, 300)"
D:/Thesis/realism_data/Academicism\a bedtime prayer.jpg,512,621,
D:/Thesis/realism_data/Academicism\a beggar castaway.jpg,1000,705,"(143.99259999999998, 143.99259999999998)"
D:/Thesis/realism_data/Academicism\a bridge in venice.jpg,1920,1117,"(300, 300)"
D:/Thesis/realism_data/Academicism\a cavalier. time of louis iii.jpg,703,900,"(300, 300)"
D:/Thesis/realism_data/Academicism\a cavalier. time of louis xiv.jpg,608,900,"(300, 300)"
D:/Thesis/realism_data/Academicism\a child learning to read.jpg,610,600,"(300, 300)"
D:/Thesis/realism_data/Academicism\a childhood idyll.jpg,2503,1966,"(600, 600)"
D:/Thesis/realism_data/Academicism\a children's party the children's table.jpg,1928,1327,"(96, 96)"
D:/Thesis/realism_data/Academicism\a church interior with women at the confessional.jpg,3502,2516,"(300, 300)"
D:/Thesis/realism_data/Academicism\a classical courtship.jpg,760,1000,"(0, 0)"
D:/Thesis/realism_data/Academicism\a collaboration.jpg,603,400,"(0, 0)"
D:/Thesis/realism_data/Academicism\a conversation piece.jpg,800,633,"(72, 72)"
D:/Thesis/realism_data/Academicism\a cosey corner.jpg,2478,3722,"(150, 150)"
D:/Thesis/realism_data/Academicism\a crown of flowers.jpg,431,600,
D:/Thesis/realism_data/Academicism\a dance by the sea.jpg,621,1000,"(72, 72)"
D:/Thesis/realism_data/Academicism\a dangerous game.jpg,2136,1100,"(72, 72)"
D:/Thesis/realism_data/Academicism\a day dream.jpg,2627,2363,"(72, 72)"
D:/Thesis/realism_data/Academicism\a deep sea idyll.jpg,1844,3200,
D:/Thesis/realism_data/Academicism\a degolação de são joão batista.jpg,385,512,"(0, 0)"
D:/Thesis/realism_data/Academicism\a eunuch's dream.jpg,2556,1820,"(72.0, 72.0)"
D:/Thesis/realism_data/Academicism\a fair maiden.jpg,353,600,"(96, 96)"
D:/Thesis/realism_data/Academicism\a family scene.jpg,636,650,"(300, 300)"
D:/Thesis/realism_data/Academicism\a favourite fan.jpg,589,1000,"(72, 72)"
D:/Thesis/realism_data/Academicism\a fine point.jpg,1000,789,"(600, 600)"
D:/Thesis/realism_data/Academicism\a fishing lugger and customs boat off a coastal town.jpg,944,694,"(72, 72)"
D:/Thesis/realism_data/Academicism\a game of billiards.jpg,1037,577,"(72, 72)"
D:/Thesis/realism_data/Academicism\a garden.jpg,1126,2247,"(72, 72)"
D:/Thesis/realism_data/Academicism\a garland.jpg,280,562,"(96, 96)"
D:/Thesis/realism_data/Academicism\a general and his aide de camp.jpg,900,626,
D:/Thesis/realism_data/Academicism\a girl feeding peacocks.jpg,1978,2803,"(300, 300)"
D:/Thesis/realism_data/Academicism\a girl playing a guitar by candlelight.jpg,446,600,
D:/Thesis/realism_data/Academicism\a girl with a basket of fruit.jpg,2425,3752,"(300, 300)"
D:/Thesis/realism_data/Academicism\a girl.jpg,2244,3221,"(300, 300)"
D:/Thesis/realism_data/Academicism\a good book.jpg,492,600,"(72, 72)"
D:/Thesis/realism_data/Academicism\a head of a young man.jpg,382,500,"(96, 96)"
D:/Thesis/realism_data/Academicism\a helping hand.jpg,2166,3000,"(600, 600)"
"D:/Thesis/realism_data/Academicism\a la fontaine, alger.jpg",831,1000,
D:/Thesis/realism_data/Academicism\a legend of saint patrick.jpg,944,750,"(72, 72)"
D:/Thesis/realism_data/Academicism\a little coaxing.jpg,1107,1816,"(200, 200)"
D:/Thesis/realism_data/Academicism\a little girl.jpg,350,469,"(96, 96)"
D:/Thesis/realism_data/Academicism\a little shepherdess.jpg,564,976,"(72, 72)"
D:/Thesis/realism_data/Academicism\a love missile.jpg,394,600,"(95.9866, 95.9866)"
D:/Thesis/realism_data/Academicism\a magyarok indulása az új hazába.jpg,1843,850,"(300, 300)"
D:/Thesis/realism_data/Academicism\a morning calm.jpg,3200,2312,"(300.0, 300.0)"
D:/Thesis/realism_data/Academicism\a musician.jpg,800,576,"(200, 200)"
D:/Thesis/realism_data/Academicism\a musketeer. time of louis xiii.jpg,555,900,"(300, 300)"
D:/Thesis/realism_data/Academicism\a naughty naid.jpg,550,742,
"D:/Thesis/realism_data/Academicism\a neapolitan girl in traditional costume, holding a tambourine and wearing a beadnecklace, a landscape beyond.jpg",537,640,"(96, 96)"
D:/Thesis/realism_data/Academicism\a nymph by a fountain.jpg,512,825,
D:/Thesis/realism_data/Academicism\a nymph in a sunlit glade.jpg,251,512,"(96, 96)"
D:/Thesis/realism_data/Academicism\a peacock and doves in a garden.jpg,350,547,"(96, 96)"
"D:/Thesis/realism_data/Academicism\a peasant girl, brittany, france.jpg",507,685,"(72, 72)"
D:/Thesis/realism_data/Academicism\a pensive moment.jpg,663,1129,"(72, 72)"
D:/Thesis/realism_data/Academicism\a plate of cakes.jpg,789,1000,"(600, 600)"
D:/Thesis/realism_data/Academicism\a playful burden.jpg,2490,3311,"(72, 72)"
D:/Thesis/realism_data/Academicism\a portrait of a young girl.jpg,3278,4041,"(72, 72)"
D:/Thesis/realism_data/Academicism\a portrait of a young lady.jpg,770,1000,"(600, 600)"
D:/Thesis/realism_data/Academicism\a portrait of amelina dufaud.jpg,2314,2789,"(400, 400)"
D:/Thesis/realism_data/Academicism\a portrait of eugene bouguereau.jpg,2154,2453,"(400, 400)"
D:/Thesis/realism_data/Academicism\a portrait of mrs. james leigh coleman.jpg,639,1000,"(600, 600)"
D:/Thesis/realism_data/Academicism\a portrait.jpg,441,544,"(72, 72)"
D:/Thesis/realism_data/Academicism\a private concert.jpg,386,470,"(72, 72)"
D:/Thesis/realism_data/Academicism\a reader.jpg,331,1000,"(200, 200)"
D:/Thesis/realism_data/Academicism\a reading lesson.jpg,514,600,"(300, 300)"
D:/Thesis/realism_data/Academicism\a rest in the shade.jpg,990,749,"(95.9866, 95.9866)"
D:/Thesis/realism_data/Academicism\a reverie.jpg,1000,1586,"(600, 600)"
D:/Thesis/realism_data/Academicism\a river landscape.jpg,7560,5049,"(300, 300)"
D:/Thesis/realism_data/Academicism\a roman lady.jpg,1569,2430,"(300, 300)"
D:/Thesis/realism_data/Academicism\a roman patrician.jpg,528,1024,
D:/Thesis/realism_data/Academicism\a roman slave market.jpg,600,675,"(0, 0)"
"D:/Thesis/realism_data/Academicism\a roman triumphal entry, possibly of marcus claudius marcellus.jpg",4000,3103,"(120, 120)"
D:/Thesis/realism_data/Academicism\a sacrifice to the graces.jpg,544,864,"(200, 200)"
"D:/Thesis/realism_data/Academicism\a saint, from the 'jackdaw of rheims'.jpg",589,944,"(72, 72)"
D:/Thesis/realism_data/Academicism\a saint.jpg,1902,2372,"(96, 96)"
D:/Thesis/realism_data/Academicism\a scandal.jpg,674,1000,"(600, 600)"
D:/Thesis/realism_data/Academicism\a scene of daily life in the roman campagna.jpg,5415,2839,"(300, 300)"
D:/Thesis/realism_data/Academicism\a seated nude with a blue drape.jpg,1578,2175,"(72, 72)"
D:/Thesis/realism_data/Academicism\a sentinel. time of louis xiii.jpg,566,900,"(300, 300)"
D:/Thesis/realism_data/Academicism\a serious conversation.jpg,2999,4488,"(300, 300)"
D:/Thesis/realism_data/Academicism\a shared confidence.jpg,1000,1370,
D:/Thesis/realism_data/Academicism\a shepherd playing flute.jpg,1000,568,"(0, 0)"
D:/Thesis/realism_data/Academicism\a sicilian bride.jpg,1559,2000,"(49, 49)"
D:/Thesis/realism_data/Academicism\a sicilian woman.jpg,1563,2000,"(300, 300)"
D:/Thesis/realism_data/Academicism\a sketch for a fresco.jpg,2436,1220,"(6500.0, 6500.0)"
D:/Thesis/realism_data/Academicism\a sleeping girl.jpg,1510,2066,"(72, 72)"
D:/Thesis/realism_data/Academicism\a soldier was signaling to them to stay away.jpg,317,382,
