Filename,Width,Height,DPI Information
D:/Thesis/realism_data/Ukiyo-e\0. table of contents.jpg,2276,3475,"(150, 150)"
D:/Thesis/realism_data/Ukiyo-e\1. nihonbashi. clearing after snow.jpg,797,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\10. sunrise at kanda myōjin shrine.jpg,790,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\100. nihon embankment and yoshiwara.jpg,789,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\101. asakusa ricefields and torinomachi festival.jpg,790,1200,"(300, 300)"
"D:/Thesis/realism_data/Ukiyo-e\102. minowa, kanasugi and mikawashima.jpg",598,898,"(600, 600)"
D:/Thesis/realism_data/Ukiyo-e\103. senju great bridge.jpg,585,899,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\104. koume embankment.jpg,594,900,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\105. oumayagashi.jpg,600,899,"(150, 150)"
D:/Thesis/realism_data/Ukiyo-e\106. the fukagawa lumberyards.jpg,582,900,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\107. fukagawa susaki and jūmantsubo.jpg,946,1414,"(72, 72)"
D:/Thesis/realism_data/Ukiyo-e\108. view of shiba coast.jpg,585,899,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\109. minami shinagawa and samezu coast.jpg,675,900,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\11. kiyomizu hall and shinobazu pond at ueno.jpg,790,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\110. robe hanging pine at senzoku no ike.jpg,591,900,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\111. meguro drum bridge and sunset hill.jpg,538,800,"(72, 72)"
D:/Thesis/realism_data/Ukiyo-e\112. atagoshita and yabu lane.jpg,598,898,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\113. aoi slope outside toranomon gate.jpg,789,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\114. bikuni bridge in snow.jpg,786,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\115. the takata riding grounds.jpg,796,1200,"(300, 300)"
"D:/Thesis/realism_data/Ukiyo-e\116. sugatami bridge, omokage bridge and jariba at takata.jpg",804,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\117. view from the hilltop of yushima tenjin shrine.jpg,783,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\118. kitsunebi on new year's night under the enoki tree near ōji.jpg,3352,5115,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\119. view of the paulownia imperiales trees at akasaka on a rainy evening.jpg,507,768,
D:/Thesis/realism_data/Ukiyo-e\12. ueno yamashita.jpg,796,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\13. shitaya hirokōji.jpg,790,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\14. temple gardens in nippori.jpg,790,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\15. suwa bluff in nippori.jpg,793,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\16. flower park and dangozaka slope in sendagi.jpg,805,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\17. view to the north from asukayama.jpg,802,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\18. the ōji inari shrine.jpg,791,1200,"(300, 300)"
"D:/Thesis/realism_data/Ukiyo-e\19. dam on the otonashi river at ōji, known as the great waterfall.jpg",799,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\2. kasumigaseki.jpg,784,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\20. the kawaguchi ferry and zenkōji temple.jpg,792,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\21. mount atago in shiba.jpg,795,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\22. hiroo on furukawa river.jpg,796,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\23. chiyogaike pond in meguro.jpg,797,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\24. new fuji in meguro.jpg,796,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\25. the original fuji in meguro.jpg,804,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\26. the armour hanging pine at hakkeizaka bluff.jpg,808,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\27. plum orchard in kamada.jpg,1029,1536,
D:/Thesis/realism_data/Ukiyo-e\28. palace hill in shinagawa.jpg,796,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\29. moto hachiman shrine in sunamura.jpg,790,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\3. hibiya and soto sakurada from yamashita chō.jpg,788,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\30. plum park in kameido.jpg,2041,3000,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\31. azuma no mori shrine and the entwined camphor.jpg,789,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\32. the yanagishima.jpg,791,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\33. towboas along the yotsugi dōri canal.jpg,1672,2434,"(72.0, 72.0)"
D:/Thesis/realism_data/Ukiyo-e\34. night view of matsuchiyama and the san'ya canal.jpg,801,1200,"(300, 300)"
D:/Thesis/realism_data/Ukiyo-e\35. suijin shrine and massaki on the sumida river.jpg,800,1200,"(300, 300)"
