Filename,Width,Height,DPI Information
D:/Thesis/realism_data/baroque\a banquet of the officers of the st. george militia company.jpg,1353,705,"(300, 300)"
D:/Thesis/realism_data/baroque\a bearded man pouring a bottle of wine.jpg,360,470,"(72, 72)"
D:/Thesis/realism_data/baroque\a donor presented to the virgin.jpg,710,1176,"(300, 300)"
D:/Thesis/realism_data/baroque\a forest pool.jpg,873,650,"(300, 300)"
D:/Thesis/realism_data/baroque\a frozen river with skaters.jpg,1000,625,"(400, 400)"
D:/Thesis/realism_data/baroque\a fruit stall.jpg,1255,757,"(300, 300)"
D:/Thesis/realism_data/baroque\a game of handball with country palace in background.jpg,2624,1961,"(72, 72)"
D:/Thesis/realism_data/baroque\a lute player.jpg,356,470,"(96, 96)"
D:/Thesis/realism_data/baroque\a man with a dog.jpg,3348,5082,"(72, 72)"
D:/Thesis/realism_data/baroque\a merry company in an arbor.jpg,3415,2648,"(300, 300)"
D:/Thesis/realism_data/baroque\a moonlit scene depicting the areopagite judged of athens.jpg,3652,2929,"(150, 150)"
D:/Thesis/realism_data/baroque\a panoramic winter landscape with a multitude of figures on a frozen river.jpg,2000,1268,"(180, 180)"
"D:/Thesis/realism_data/baroque\a peasant man, head and shoulders, shouting.jpg",338,450,"(96, 96)"
D:/Thesis/realism_data/baroque\a set of small religious scenes.jpg,2380,1622,"(96, 96)"
D:/Thesis/realism_data/baroque\a vegetable stall.jpg,1255,763,"(300, 300)"
D:/Thesis/realism_data/baroque\a winter scene with skaters near a castle.jpg,4222,4177,"(72, 72)"
D:/Thesis/realism_data/baroque\a witch with cupids.jpg,542,768,"(72, 72)"
D:/Thesis/realism_data/baroque\a wooded landscape with a bridge and sportsmen at the edge of the river.jpg,777,1023,"(97, 97)"
D:/Thesis/realism_data/baroque\abduction of europa.jpg,1713,1348,"(300, 300)"
D:/Thesis/realism_data/baroque\abduction of the daughters of leucippus.jpg,3543,3758,"(300, 300)"
D:/Thesis/realism_data/baroque\abraham and isaac.jpg,1152,770,"(300, 300)"
D:/Thesis/realism_data/baroque\achille and briseis.jpg,650,867,"(600, 600)"
D:/Thesis/realism_data/baroque\achilles and the daughters of lykomedes.jpg,686,768,"(100, 100)"
D:/Thesis/realism_data/baroque\adam and eve in worthy paradise.jpg,1024,642,"(100, 100)"
D:/Thesis/realism_data/baroque\adam and eve the fall of man.jpg,1263,1920,
D:/Thesis/realism_data/baroque\adam.jpg,1272,1734,"(180, 180)"
D:/Thesis/realism_data/baroque\adone.jpg,1996,2001,"(72, 72)"
D:/Thesis/realism_data/baroque\adoration of the kings.jpg,850,1418,"(300, 300)"
D:/Thesis/realism_data/baroque\adoration of the magi.jpg,954,728,
D:/Thesis/realism_data/baroque\adoration of the sheperds.jpg,1069,1920,"(96, 96)"
D:/Thesis/realism_data/baroque\adoration of the shepherds.jpg,648,864,"(72, 72)"
D:/Thesis/realism_data/baroque\adorned by the graces.jpg,499,390,
D:/Thesis/realism_data/baroque\aeneas and anchises.jpg,477,1000,"(600, 600)"
D:/Thesis/realism_data/baroque\aeneas and dido.jpg,650,867,"(600, 600)"
D:/Thesis/realism_data/baroque\aeneas and his family departing from troy.jpg,1000,658,"(72, 72)"
D:/Thesis/realism_data/baroque\aeneas saving anchisis from burning troy.jpg,1009,1500,"(200, 200)"
D:/Thesis/realism_data/baroque\after the fall of claudius civilis.jpg,1280,955,"(300, 300)"
D:/Thesis/realism_data/baroque\agrippina and germanicus.jpg,508,600,"(96, 96)"
D:/Thesis/realism_data/baroque\albert rubens.jpg,664,773,"(100, 100)"
"D:/Thesis/realism_data/baroque\albert vii, governor of the southern provinces.jpg",517,779,"(72, 72)"
D:/Thesis/realism_data/baroque\alcibiade and glycere.jpg,650,867,"(600, 600)"
D:/Thesis/realism_data/baroque\alexander the great as a judge.jpg,3580,2932,"(150, 150)"
D:/Thesis/realism_data/baroque\allegoria dell'inclinazione.jpg,231,599,"(100, 100)"
D:/Thesis/realism_data/baroque\allegory of justice  with a court scene depicting a man being pardoned by a judge.jpg,3754,2566,"(150, 150)"
"D:/Thesis/realism_data/baroque\allegory of justice depicting a street scene with a shepherd giving paper to a judge, who rejects it.jpg",3568,2907,"(150, 150)"
D:/Thesis/realism_data/baroque\allegory of water.jpg,3211,2108,"(300, 300)"
D:/Thesis/realism_data/baroque\allegory on emperor charles as ruler of vast realms.jpg,1100,1308,"(300, 300)"
D:/Thesis/realism_data/baroque\altar with six scenes from the life of the virgin mary.jpg,4690,4125,"(72, 72)"
D:/Thesis/realism_data/baroque\amanti.jpg,741,600,
D:/Thesis/realism_data/baroque\amor victorious.jpg,5000,6913,
D:/Thesis/realism_data/baroque\an allegory of truth and time.jpg,1507,1149,"(96, 96)"
D:/Thesis/realism_data/baroque\an apostle with folded hands.jpg,959,1183,"(300, 300)"
D:/Thesis/realism_data/baroque\an apostle.jpg,951,1183,"(300, 300)"
D:/Thesis/realism_data/baroque\an old woman cooking eggs.jpg,2024,1729,"(72, 72)"
D:/Thesis/realism_data/baroque\ancient ruins by a river.jpg,877,514,"(350, 350)"
D:/Thesis/realism_data/baroque\angel announcing the resurrection of christ to the three marys.jpg,1654,1303,"(72, 72)"
D:/Thesis/realism_data/baroque\angelica and medor.jpg,650,867,"(600, 600)"
D:/Thesis/realism_data/baroque\ann parolini guicciardini.jpg,472,600,"(72, 72)"
D:/Thesis/realism_data/baroque\annunciation.jpg,1030,1129,"(300, 300)"
D:/Thesis/realism_data/baroque\antony and cleopatra.jpg,650,867,"(600, 600)"
D:/Thesis/realism_data/baroque\apollo  and  coronis.jpg,836,600,"(300, 300)"
D:/Thesis/realism_data/baroque\apollo and hyacinth.jpg,384,250,
D:/Thesis/realism_data/baroque\apparition of christ to saint vincent ferrer.jpg,2972,4740,
D:/Thesis/realism_data/baroque\arcadian landscape.jpg,1267,911,"(350, 350)"
D:/Thesis/realism_data/baroque\archduke alberto de austria.jpg,1920,1237,"(96, 96)"
D:/Thesis/realism_data/baroque\archimedes drawing a geometric shape.jpg,356,470,"(72, 72)"
D:/Thesis/realism_data/baroque\arrival of a dutch three-master at schloss kronberg.jpg,1024,590,"(300, 300)"
D:/Thesis/realism_data/baroque\assumption of the virgin mary.jpg,667,970,"(300, 300)"
D:/Thesis/realism_data/baroque\assumption of the virgin.jpg,3087,4762,"(72.0, 72.0)"
D:/Thesis/realism_data/baroque\assumption of virgin.jpg,520,786,"(100, 100)"
D:/Thesis/realism_data/baroque\assumption.jpg,1878,2870,"(72, 72)"
D:/Thesis/realism_data/baroque\atlante.jpg,603,1091,"(300, 300)"
"D:/Thesis/realism_data/baroque\attack on spanish treasure galleys, portugal.jpg",944,387,"(72, 72)"
D:/Thesis/realism_data/baroque\auferstehung christi.jpg,483,600,"(96, 96)"
D:/Thesis/realism_data/baroque\aurora.jpg,2561,1020,"(72, 72)"
D:/Thesis/realism_data/baroque\bacchanal a faun teased by children.jpg,700,1256,"(300, 300)"
D:/Thesis/realism_data/baroque\bacchanale.jpg,800,690,"(72, 72)"
D:/Thesis/realism_data/baroque\bacchus.jpg,3315,3892,"(72.0, 72.0)"
D:/Thesis/realism_data/baroque\bachus and ariane.jpg,650,867,"(600, 600)"
D:/Thesis/realism_data/baroque\banquet of the officers of the st. george civic guard company.jpg,2303,1209,"(300.0, 300.0)"
D:/Thesis/realism_data/baroque\banquet on a terrace.jpg,1082,770,"(300, 300)"
D:/Thesis/realism_data/baroque\baptism of christ.jpg,1025,899,"(300, 300)"
D:/Thesis/realism_data/baroque\baptism of jesus.jpg,424,1038,"(72, 72)"
D:/Thesis/realism_data/baroque\basket of fruit.jpg,2532,2003,"(300, 300)"
D:/Thesis/realism_data/baroque\batavians defeating romans on the rhine.jpg,1280,959,"(72, 72)"
D:/Thesis/realism_data/baroque\battle of the amazons.jpg,2024,1445,"(72, 72)"
D:/Thesis/realism_data/baroque\battle scene in an open landscape.jpg,968,600,"(300, 300)"
D:/Thesis/realism_data/baroque\beheading of john the baptist.jpg,800,1975,
D:/Thesis/realism_data/baroque\beheading of saint john the baptist.jpg,3200,2173,"(96, 96)"
D:/Thesis/realism_data/baroque\beheading of st. john the baptist.jpg,882,787,"(100, 100)"
D:/Thesis/realism_data/baroque\beweinung christi.jpg,1051,1373,"(72, 72)"
D:/Thesis/realism_data/baroque\boar hunt.jpg,1039,850,"(300, 300)"
D:/Thesis/realism_data/baroque\bodegón.jpg,1920,1333,"(72, 72)"
D:/Thesis/realism_data/baroque\boy bitten by a lizard.jpg,1576,2052,"(72, 72)"
D:/Thesis/realism_data/baroque\boy peeling fruit.jpg,730,880,"(300, 300)"
D:/Thesis/realism_data/baroque\boy with a basket of fruit.jpg,2024,2069,"(200, 200)"
D:/Thesis/realism_data/baroque\boy with bird.jpg,988,1200,"(96, 96)"
