Filename,Width,Height,DPI Information
D:/Thesis/realism_data/neoclassicism\a balcony in the roman forum.jpg,2760,4000,
D:/Thesis/realism_data/neoclassicism\a building on a hill with saint peter's in the distance.jpg,4000,2768,
D:/Thesis/realism_data/neoclassicism\a capital and a base inc f piranesi.jpg,1001,1500,"(515, 515)"
"D:/Thesis/realism_data/neoclassicism\a chest of drawers, a side of the sedan, a decorative vase and various ornamental motifs.jpg",1195,1500,"(743, 743)"
"D:/Thesis/realism_data/neoclassicism\a chimney top, and bottom wall two tables, the inf on a sheet of paper.jpg",1101,1500,"(2000, 2000)"
D:/Thesis/realism_data/neoclassicism\a coastal mediterranean landscape with a dutch merchantman in a bay.jpg,614,400,"(1016, 1016)"
D:/Thesis/realism_data/neoclassicism\a family in prayer.jpg,1500,1163,"(72, 72)"
"D:/Thesis/realism_data/neoclassicism\a five-legged table, wall matterhorn, surmounted by a clock between two decorative vases, two candelabra wall, two urns.jpg",927,1500,"(747, 747)"
D:/Thesis/realism_data/neoclassicism\a fortified town in italy.jpg,4000,2718,
"D:/Thesis/realism_data/neoclassicism\a frieze with architrave, column, two capitals, a bed, a shelf and two terracotta.jpg",1500,1160,"(675, 675)"
D:/Thesis/realism_data/neoclassicism\a high bridge in tivoli.jpg,2611,4000,
"D:/Thesis/realism_data/neoclassicism\a marble plaque with the inscription roman antiquities outside of rome, drawn and engraved by venetian architect giambattista piranesi, part two.jpg",1500,827,"(539, 539)"
"D:/Thesis/realism_data/neoclassicism\a portrait of james bruce of kinnaird, explorer.jpg",500,601,"(72, 72)"
D:/Thesis/realism_data/neoclassicism\a roemer an overturned pewter jugolives half peeled lemon on pewter plates.jpg,900,604,"(180, 180)"
D:/Thesis/realism_data/neoclassicism\a roman street with monte cavo in the distance.jpg,4000,2699,
D:/Thesis/realism_data/neoclassicism\a sacrifice.jpg,1500,1110,"(72, 72)"
D:/Thesis/realism_data/neoclassicism\a still life of fresh water fish with a cat a bartmannkrug a barrel and a small fishing net on a tab.jpg,900,667,"(180, 180)"
D:/Thesis/realism_data/neoclassicism\a stone bridge and the fortified entrance to a town.jpg,4000,2754,
"D:/Thesis/realism_data/neoclassicism\a table on the wall with two satyrs, a pndola, two watches, two vases, candlesticks wall and table ornaments.jpg",1037,1500,"(1042, 1042)"
"D:/Thesis/realism_data/neoclassicism\a table with the vessel wall rostrata, four clocks, two decorative vases, ornaments.jpg",1003,1500,"(999, 999)"
D:/Thesis/realism_data/neoclassicism\a towering tree with travelers.jpg,2737,4000,
D:/Thesis/realism_data/neoclassicism\a tripod and two vessels.jpg,997,1500,"(512, 512)"
D:/Thesis/realism_data/neoclassicism\a tripod stand and a former.jpg,1021,1500,"(508, 508)"
D:/Thesis/realism_data/neoclassicism\a view of the progress of the water castle julia from which the trophies were removed this board brings the n 47 and is also part of volume xvi.jpg,1128,1500,"(451, 451)"
