Filename,Width,Height,DPI Information
D:/Thesis/realism_data/orientalism\455000 the murder of patrona halil and his followers.jpg,2500,1893,"(72, 72)"
"D:/Thesis/realism_data/orientalism\a bath, woman bathing her feet.jpg",800,591,"(72, 72)"
"D:/Thesis/realism_data/orientalism\a bedouin family in the wadi mousa, syrian desert.jpg",512,750,"(96, 96)"
D:/Thesis/realism_data/orientalism\a bedouin.jpg,4442,6994,
D:/Thesis/realism_data/orientalism\a blacksmith.jpg,768,512,"(72, 72)"
D:/Thesis/realism_data/orientalism\a café in cairo.jpg,2746,2228,"(300, 300)"
D:/Thesis/realism_data/orientalism\a café on the bosphorus.jpg,1500,1121,"(100, 100)"
D:/Thesis/realism_data/orientalism\a chat by the fireside.jpg,458,570,"(300, 300)"
D:/Thesis/realism_data/orientalism\a court in the alhambra.jpg,3000,1940,"(600, 600)"
D:/Thesis/realism_data/orientalism\a dance for the sultan.jpg,662,470,
D:/Thesis/realism_data/orientalism\a depiction of jesus and the woman taken in adultery.jpg,2220,1200,"(72, 72)"
D:/Thesis/realism_data/orientalism\a frank encampment in the desert of mount sinai. the convent of st. catherine in the distance.jpg,6672,3181,
D:/Thesis/realism_data/orientalism\a garden gate in chuguchak.jpg,719,1000,
D:/Thesis/realism_data/orientalism\a greek girl standing on a balcony.jpg,4821,7028,
"D:/Thesis/realism_data/orientalism\a gypsy dance in the gardens of the alcázar, in front of charles v pavilion.jpg",3200,2199,"(72, 72)"
D:/Thesis/realism_data/orientalism\a gypsy family on the road.jpg,1024,811,"(300, 300)"
D:/Thesis/realism_data/orientalism\a harem.jpg,1136,774,"(96, 96)"
"D:/Thesis/realism_data/orientalism\a head keeper, windsor castle.jpg",4819,6673,
D:/Thesis/realism_data/orientalism\a hot day in cairo front of the mosque.jpg,1000,1500,"(400, 400)"
D:/Thesis/realism_data/orientalism\a house in turkey.jpg,3876,2633,"(150, 150)"
D:/Thesis/realism_data/orientalism\a japanese.jpg,596,879,"(300, 300)"
D:/Thesis/realism_data/orientalism\a jewish wedding in morocco.jpg,1024,749,"(300, 300)"
"D:/Thesis/realism_data/orientalism\a la fontaine, alger.jpg",831,1000,
D:/Thesis/realism_data/orientalism\a lady in turkish costume with her servant at the hammam.jpg,2148,2748,
D:/Thesis/realism_data/orientalism\a lady receiving visitors the reception.jpg,5378,4492,
D:/Thesis/realism_data/orientalism\a man in oriental costume.jpg,520,700,
D:/Thesis/realism_data/orientalism\a marketplace in ispahan.jpg,1000,836,"(600, 600)"
D:/Thesis/realism_data/orientalism\a moroccan saddling a horse.jpg,820,1008,"(150, 150)"
D:/Thesis/realism_data/orientalism\a moroccan woman in traditional dress.jpg,2884,4000,"(167.0, 167.0)"
D:/Thesis/realism_data/orientalism\a mulatto woman.jpg,850,1075,"(300, 300)"
D:/Thesis/realism_data/orientalism\a nile woman.jpg,512,970,"(300, 300)"
D:/Thesis/realism_data/orientalism\a persian cafe.jpg,1042,723,"(125, 125)"
D:/Thesis/realism_data/orientalism\a rajah of jodhpur.jpg,1000,754,"(72, 72)"
D:/Thesis/realism_data/orientalism\a royal palace in morocco.jpg,1600,1051,"(72, 72)"
D:/Thesis/realism_data/orientalism\a royal procession.jpg,633,1000,"(300, 300)"
D:/Thesis/realism_data/orientalism\a scene of public justice in the ruins of a moroccan city.jpg,2835,2327,"(180, 180)"
D:/Thesis/realism_data/orientalism\a seated female nude.jpg,1000,1360,"(600, 600)"
D:/Thesis/realism_data/orientalism\a sitting scrivener.jpg,1000,1310,"(200.0, 200.0)"
D:/Thesis/realism_data/orientalism\a sketch for `foresters stalking deer'.jpg,4294,3128,
D:/Thesis/realism_data/orientalism\a slave is given a cup of coffee to a sultana.jpg,970,800,"(96, 96)"
D:/Thesis/realism_data/orientalism\a sleeping moor.jpg,339,470,
"D:/Thesis/realism_data/orientalism\a street market scene, india.jpg",3000,2448,"(600, 600)"
D:/Thesis/realism_data/orientalism\a street scene in cairo.jpg,750,473,"(300, 300)"
D:/Thesis/realism_data/orientalism\a street scene in granada on the day of the bullfight.jpg,4883,7144,
D:/Thesis/realism_data/orientalism\a sultan's procession in istanbul.jpg,7809,5171,"(300, 300)"
D:/Thesis/realism_data/orientalism\a tale of 1001 nights.jpg,800,542,"(600, 600)"
