Filename,Width,Height,DPI Information
D:/Thesis/realism_data/realism\1814. campagne de france napoleon and his staff returning from soissons after the battle of laon.jpg,493,566,"(72, 72)"
D:/Thesis/realism_data/realism\a boy in a red shirt.jpg,547,695,"(96, 96)"
D:/Thesis/realism_data/realism\a bright day.jpg,1280,794,"(300, 300)"
D:/Thesis/realism_data/realism\a burial at ornans.jpg,1000,472,"(300, 300)"
D:/Thesis/realism_data/realism\a chestnut wood among the rocks.jpg,1280,843,"(300, 300)"
D:/Thesis/realism_data/realism\a choctaw woman.jpg,840,1206,"(72, 72)"
D:/Thesis/realism_data/realism\a farm in the nievre.jpg,992,653,
D:/Thesis/realism_data/realism\a farmyard near fontainebleau.jpg,980,800,"(96, 96)"
D:/Thesis/realism_data/realism\a girl with a pot of roses.jpg,1400,1738,"(72, 72)"
D:/Thesis/realism_data/realism\a herd-boy with a pipe.jpg,519,700,
D:/Thesis/realism_data/realism\a hilly landscape in auvergne.jpg,800,511,"(0, 0)"
D:/Thesis/realism_data/realism\a peasant girl from tver.jpg,2032,2861,"(300, 300)"
D:/Thesis/realism_data/realism\a peasant girl with a calf.jpg,470,600,"(600, 600)"
D:/Thesis/realism_data/realism\a peasant woman with a child.jpg,369,550,"(72, 72)"
D:/Thesis/realism_data/realism\a peasant woman with a rake.jpg,451,546,"(400, 400)"
D:/Thesis/realism_data/realism\a peasant woman with scythe and rake.jpg,450,599,"(72, 72)"
"D:/Thesis/realism_data/realism\a peasant woman, combing flax anisia.jpg",452,600,"(96, 96)"
"D:/Thesis/realism_data/realism\a peasant woman, resting on her hand.jpg",466,596,"(72, 72)"
D:/Thesis/realism_data/realism\a peasant woman.jpg,385,500,"(96, 96)"
D:/Thesis/realism_data/realism\a rising path.jpg,1058,656,
"D:/Thesis/realism_data/realism\a road in the countryside, near lake leman.jpg",989,568,
D:/Thesis/realism_data/realism\a seated italian from paeigno facing front.jpg,904,633,
D:/Thesis/realism_data/realism\a stream with dam in auvergne.jpg,1000,686,"(0, 0)"
D:/Thesis/realism_data/realism\a town thiers.jpg,1795,1400,"(350, 350)"
D:/Thesis/realism_data/realism\a vase of corn lilies and heliotrope.jpg,457,600,"(600, 600)"
D:/Thesis/realism_data/realism\a view of thiers in the auvergne.jpg,739,499,"(72, 72)"
